docid,docno,title,rank,query,qid,model
81420,273277,K.G.F: Chapter 2 (2022),10,Movies with epic space battles.,1,pipeline_6
334,339,While You Were Sleeping (1995),1,Romantic comedies with mistaken identity.,2,pipeline_0
2579,2671,Notting Hill (1999),2,Romantic comedies with mistaken identity.,2,pipeline_0
1273,1307,When Harry Met Sally... (1989),3,Romantic comedies with mistaken identity.,2,pipeline_0
4718,4823,Serendipity (2001),4,Romantic comedies with mistaken identity.,2,pipeline_0
3004,3097,"Shop Around the Corner, The (1940)",5,Romantic comedies with mistaken identity.,2,pipeline_0
6044,6155,How to Lose a Guy in 10 Days (2003),6,Romantic comedies with mistaken identity.,2,pipeline_0
589,597,Pretty Woman (1990),7,Romantic comedies with mistaken identity.,2,pipeline_0
887,908,North by Northwest (1959),8,Romantic comedies with mistaken identity.,2,pipeline_0
14518,76293,Date Night (2010),9,Romantic comedies with mistaken identity.,2,pipeline_0
2333,2424,You've Got Mail (1998),10,Romantic comedies with mistaken identity.,2,pipeline_0
334,339,While You Were Sleeping (1995),1,Romantic comedies with mistaken identity.,2,pipeline_1
3004,3097,"Shop Around the Corner, The (1940)",2,Romantic comedies with mistaken identity.,2,pipeline_1
4718,4823,Serendipity (2001),3,Romantic comedies with mistaken identity.,2,pipeline_1
5832,5943,Maid in Manhattan (2002),4,Romantic comedies with mistaken identity.,2,pipeline_1
6044,6155,How to Lose a Guy in 10 Days (2003),5,Romantic comedies with mistaken identity.,2,pipeline_1
2579,2671,Notting Hill (1999),6,Romantic comedies with mistaken identity.,2,pipeline_1
34091,144025,The Goose and the Gander (1935),7,Romantic comedies with mistaken identity.,2,pipeline_1
5363,5470,The Importance of Being Earnest (1952),8,Romantic comedies with mistaken identity.,2,pipeline_1
1273,1307,When Harry Met Sally... (1989),9,Romantic comedies with mistaken identity.,2,pipeline_1
18537,96870,"Private Life of Don Juan, The (1934)",10,Romantic comedies with mistaken identity.,2,pipeline_1
334,339,While You Were Sleeping (1995),1,Romantic comedies with mistaken identity.,2,pipeline_2
2333,2424,You've Got Mail (1998),2,Romantic comedies with mistaken identity.,2,pipeline_2
3966,4069,"Wedding Planner, The (2001)",3,Romantic comedies with mistaken identity.,2,pipeline_2
4718,4823,Serendipity (2001),4,Romantic comedies with mistaken identity.,2,pipeline_2
6044,6155,How to Lose a Guy in 10 Days (2003),5,Romantic comedies with mistaken identity.,2,pipeline_2
2579,2671,Notting Hill (1999),6,Romantic comedies with mistaken identity.,2,pipeline_2
1273,1307,When Harry Met Sally... (1989),7,Romantic comedies with mistaken identity.,2,pipeline_2
589,597,Pretty Woman (1990),8,Romantic comedies with mistaken identity.,2,pipeline_2
54125,187333,Christmas in the Clouds (2001),9,Romantic comedies with mistaken identity.,2,pipeline_2
5511,5620,Sweet Home Alabama (2002),10,Romantic comedies with mistaken identity.,2,pipeline_2
6044,6155,How to Lose a Guy in 10 Days (2003),1,Romantic comedies with mistaken identity.,2,pipeline_3
334,339,While You Were Sleeping (1995),2,Romantic comedies with mistaken identity.,2,pipeline_3
4718,4823,Serendipity (2001),3,Romantic comedies with mistaken identity.,2,pipeline_3
2579,2671,Notting Hill (1999),4,Romantic comedies with mistaken identity.,2,pipeline_3
1273,1307,When Harry Met Sally... (1989),5,Romantic comedies with mistaken identity.,2,pipeline_3
54125,187333,Christmas in the Clouds (2001),6,Romantic comedies with mistaken identity.,2,pipeline_3
2333,2424,You've Got Mail (1998),7,Romantic comedies with mistaken identity.,2,pipeline_3
589,597,Pretty Woman (1990),8,Romantic comedies with mistaken identity.,2,pipeline_3
10106,34336,Must Love Dogs (2005),9,Romantic comedies with mistaken identity.,2,pipeline_3
5832,5943,Maid in Manhattan (2002),10,Romantic comedies with mistaken identity.,2,pipeline_3
334,339,While You Were Sleeping (1995),1,Romantic comedies with mistaken identity.,2,pipeline_4
2579,2671,Notting Hill (1999),2,Romantic comedies with mistaken identity.,2,pipeline_4
1273,1307,When Harry Met Sally... (1989),3,Romantic comedies with mistaken identity.,2,pipeline_4
4718,4823,Serendipity (2001),4,Romantic comedies with mistaken identity.,2,pipeline_4
3004,3097,"Shop Around the Corner, The (1940)",5,Romantic comedies with mistaken identity.,2,pipeline_4
6044,6155,How to Lose a Guy in 10 Days (2003),6,Romantic comedies with mistaken identity.,2,pipeline_4
589,597,Pretty Woman (1990),7,Romantic comedies with mistaken identity.,2,pipeline_4
5511,5620,Sweet Home Alabama (2002),8,Romantic comedies with mistaken identity.,2,pipeline_4
2632,2724,Runaway Bride (1999),9,Romantic comedies with mistaken identity.,2,pipeline_4
10204,36525,Just Like Heaven (2005),10,Romantic comedies with mistaken identity.,2,pipeline_4
334,339,While You Were Sleeping (1995),1,Romantic comedies with mistaken identity.,2,pipeline_5
2579,2671,Notting Hill (1999),2,Romantic comedies with mistaken identity.,2,pipeline_5
1273,1307,When Harry Met Sally... (1989),3,Romantic comedies with mistaken identity.,2,pipeline_5
4718,4823,Serendipity (2001),4,Romantic comedies with mistaken identity.,2,pipeline_5
3004,3097,"Shop Around the Corner, The (1940)",5,Romantic comedies with mistaken identity.,2,pipeline_5
6044,6155,How to Lose a Guy in 10 Days (2003),6,Romantic comedies with mistaken identity.,2,pipeline_5
589,597,Pretty Woman (1990),7,Romantic comedies with mistaken identity.,2,pipeline_5
2333,2424,You've Got Mail (1998),8,Romantic comedies with mistaken identity.,2,pipeline_5
5511,5620,Sweet Home Alabama (2002),9,Romantic comedies with mistaken identity.,2,pipeline_5
2632,2724,Runaway Bride (1999),10,Romantic comedies with mistaken identity.,2,pipeline_5
334,339,While You Were Sleeping (1995),1,Romantic comedies with mistaken identity.,2,pipeline_6
2579,2671,Notting Hill (1999),2,Romantic comedies with mistaken identity.,2,pipeline_6
1273,1307,When Harry Met Sally... (1989),3,Romantic comedies with mistaken identity.,2,pipeline_6
4718,4823,Serendipity (2001),4,Romantic comedies with mistaken identity.,2,pipeline_6
6044,6155,How to Lose a Guy in 10 Days (2003),5,Romantic comedies with mistaken identity.,2,pipeline_6
589,597,Pretty Woman (1990),6,Romantic comedies with mistaken identity.,2,pipeline_6
2333,2424,You've Got Mail (1998),7,Romantic comedies with mistaken identity.,2,pipeline_6
5511,5620,Sweet Home Alabama (2002),8,Romantic comedies with mistaken identity.,2,pipeline_6
10204,36525,Just Like Heaven (2005),9,Romantic comedies with mistaken identity.,2,pipeline_6
5832,5943,Maid in Manhattan (2002),10,Romantic comedies with mistaken identity.,2,pipeline_6
2049,2139,"Secret of NIMH, The (1982)",1,Animated films featuring anthropomorphic animals.,3,pipeline_0
2941,3034,Robin Hood (1973),2,Animated films featuring anthropomorphic animals.,3,pipeline_0
11363,50872,Ratatouille (2007),3,Animated films featuring anthropomorphic animals.,3,pipeline_0
12379,59784,Kung Fu Panda (2008),4,Animated films featuring anthropomorphic animals.,3,pipeline_0
13131,66915,Rock-A-Doodle (1991),5,Animated films featuring anthropomorphic animals.,3,pipeline_0
13363,68954,Up (2009),6,Animated films featuring anthropomorphic animals.,3,pipeline_0
5111,5218,Ice Age (2002),7,Animated films featuring anthropomorphic animals.,3,pipeline_0
6259,6377,Finding Nemo (2003),8,Animated films featuring anthropomorphic animals.,3,pipeline_0
9973,33615,Madagascar (2005),9,Animated films featuring anthropomorphic animals.,3,pipeline_0
359,364,"Lion King, The (1994)",10,Animated films featuring anthropomorphic animals.,3,pipeline_0
2049,2139,"Secret of NIMH, The (1982)",1,Animated films featuring anthropomorphic animals.,3,pipeline_1
79357,265550,Sing 2 (2021),2,Animated films featuring anthropomorphic animals.,3,pipeline_1
82217,276251,DC League of Super-Pets (2022),3,Animated films featuring anthropomorphic animals.,3,pipeline_1
2941,3034,Robin Hood (1973),4,Animated films featuring anthropomorphic animals.,3,pipeline_1
3334,3429,Creature Comforts (1989),5,Animated films featuring anthropomorphic animals.,3,pipeline_1
13131,66915,Rock-A-Doodle (1991),6,Animated films featuring anthropomorphic animals.,3,pipeline_1
15776,83177,Yogi Bear (2010),7,Animated films featuring anthropomorphic animals.,3,pipeline_1
54521,188145,The Little Raccoon (1974),8,Animated films featuring anthropomorphic animals.,3,pipeline_1
6767,6889,Brother Bear (2003),9,Animated films featuring anthropomorphic animals.,3,pipeline_1
10982,47264,Barnyard: The Original Party Animals (2006),10,Animated films featuring anthropomorphic animals.,3,pipeline_1
12379,59784,Kung Fu Panda (2008),1,Animated films featuring anthropomorphic animals.,3,pipeline_2
5111,5218,Ice Age (2002),2,Animated films featuring anthropomorphic animals.,3,pipeline_2
2049,2139,"Secret of NIMH, The (1982)",3,Animated films featuring anthropomorphic animals.,3,pipeline_2
9973,33615,Madagascar (2005),4,Animated films featuring anthropomorphic animals.,3,pipeline_2
44420,167036,Sing (2016),5,Animated films featuring anthropomorphic animals.,3,pipeline_2
1006,1029,Dumbo (1941),6,Animated films featuring anthropomorphic animals.,3,pipeline_2
1996,2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),7,Animated films featuring anthropomorphic animals.,3,pipeline_2
6767,6889,Brother Bear (2003),8,Animated films featuring anthropomorphic animals.,3,pipeline_2
4897,5002,Fritz the Cat (1972),9,Animated films featuring anthropomorphic animals.,3,pipeline_2
54521,188145,The Little Raccoon (1974),10,Animated films featuring anthropomorphic animals.,3,pipeline_2
12379,59784,Kung Fu Panda (2008),1,Animated films featuring anthropomorphic animals.,3,pipeline_3
1006,1029,Dumbo (1941),2,Animated films featuring anthropomorphic animals.,3,pipeline_3
86117,287515,Boulevardier from the Bronx (1936),3,Animated films featuring anthropomorphic animals.,3,pipeline_3
1996,2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),4,Animated films featuring anthropomorphic animals.,3,pipeline_3
2049,2139,"Secret of NIMH, The (1982)",5,Animated films featuring anthropomorphic animals.,3,pipeline_3
9973,33615,Madagascar (2005),6,Animated films featuring anthropomorphic animals.,3,pipeline_3
44420,167036,Sing (2016),7,Animated films featuring anthropomorphic animals.,3,pipeline_3
5111,5218,Ice Age (2002),8,Animated films featuring anthropomorphic animals.,3,pipeline_3
6767,6889,Brother Bear (2003),9,Animated films featuring anthropomorphic animals.,3,pipeline_3
23412,117887,Paddington (2014),10,Animated films featuring anthropomorphic animals.,3,pipeline_3
2049,2139,"Secret of NIMH, The (1982)",1,Animated films featuring anthropomorphic animals.,3,pipeline_4
2941,3034,Robin Hood (1973),2,Animated films featuring anthropomorphic animals.,3,pipeline_4
12379,59784,Kung Fu Panda (2008),3,Animated films featuring anthropomorphic animals.,3,pipeline_4
13131,66915,Rock-A-Doodle (1991),4,Animated films featuring anthropomorphic animals.,3,pipeline_4
9973,33615,Madagascar (2005),5,Animated films featuring anthropomorphic animals.,3,pipeline_4
4897,5002,Fritz the Cat (1972),6,Animated films featuring anthropomorphic animals.,3,pipeline_4
44420,167036,Sing (2016),7,Animated films featuring anthropomorphic animals.,3,pipeline_4
6767,6889,Brother Bear (2003),8,Animated films featuring anthropomorphic animals.,3,pipeline_4
79357,265550,Sing 2 (2021),9,Animated films featuring anthropomorphic animals.,3,pipeline_4
10982,47264,Barnyard: The Original Party Animals (2006),10,Animated films featuring anthropomorphic animals.,3,pipeline_4
2049,2139,"Secret of NIMH, The (1982)",1,Animated films featuring anthropomorphic animals.,3,pipeline_5
12379,59784,Kung Fu Panda (2008),2,Animated films featuring anthropomorphic animals.,3,pipeline_5
5111,5218,Ice Age (2002),3,Animated films featuring anthropomorphic animals.,3,pipeline_5
9973,33615,Madagascar (2005),4,Animated films featuring anthropomorphic animals.,3,pipeline_5
4897,5002,Fritz the Cat (1972),5,Animated films featuring anthropomorphic animals.,3,pipeline_5
44420,167036,Sing (2016),6,Animated films featuring anthropomorphic animals.,3,pipeline_5
1006,1029,Dumbo (1941),7,Animated films featuring anthropomorphic animals.,3,pipeline_5
6767,6889,Brother Bear (2003),8,Animated films featuring anthropomorphic animals.,3,pipeline_5
1996,2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),9,Animated films featuring anthropomorphic animals.,3,pipeline_5
43094,164200,Storks (2016),10,Animated films featuring anthropomorphic animals.,3,pipeline_5
2049,2139,"Secret of NIMH, The (1982)",1,Animated films featuring anthropomorphic animals.,3,pipeline_6
2941,3034,Robin Hood (1973),2,Animated films featuring anthropomorphic animals.,3,pipeline_6
12379,59784,Kung Fu Panda (2008),3,Animated films featuring anthropomorphic animals.,3,pipeline_6
13131,66915,Rock-A-Doodle (1991),4,Animated films featuring anthropomorphic animals.,3,pipeline_6
5111,5218,Ice Age (2002),5,Animated films featuring anthropomorphic animals.,3,pipeline_6
9973,33615,Madagascar (2005),6,Animated films featuring anthropomorphic animals.,3,pipeline_6
44420,167036,Sing (2016),7,Animated films featuring anthropomorphic animals.,3,pipeline_6
23412,117887,Paddington (2014),8,Animated films featuring anthropomorphic animals.,3,pipeline_6
1006,1029,Dumbo (1941),9,Animated films featuring anthropomorphic animals.,3,pipeline_6
6767,6889,Brother Bear (2003),10,Animated films featuring anthropomorphic animals.,3,pipeline_6
30133,135143,Fantastic Beasts and Where to Find Them (2016),1,Fantasy movies with magical creatures.,4,pipeline_0
30252,135426,Fantastic Beasts and Where to Find Them 2 (2018),2,Fantasy movies with magical creatures.,4,pipeline_0
1976,2065,"Purple Rose of Cairo, The (1985)",3,Fantasy movies with magical creatures.,4,pipeline_0
2003,2093,Return to Oz (1985),4,Fantasy movies with magical creatures.,4,pipeline_0
11119,48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",5,Fantasy movies with magical creatures.,4,pipeline_0
51954,182823,Bright (2017),6,Fantasy movies with magical creatures.,4,pipeline_0
16444,86882,Midnight in Paris (2011),7,Fantasy movies with magical creatures.,4,pipeline_0
23627,118696,The Hobbit: The Battle of the Five Armies (2014),8,Fantasy movies with magical creatures.,4,pipeline_0
11730,54259,Stardust (2007),9,Fantasy movies with magical creatures.,4,pipeline_0
7023,7147,Big Fish (2003),10,Fantasy movies with magical creatures.,4,pipeline_0
30133,135143,Fantastic Beasts and Where to Find Them (2016),1,Fantasy movies with magical creatures.,4,pipeline_1
2003,2093,Return to Oz (1985),2,Fantasy movies with magical creatures.,4,pipeline_1
1976,2065,"Purple Rose of Cairo, The (1985)",3,Fantasy movies with magical creatures.,4,pipeline_1
74442,243372,The Elm Chanted Forest (1986),4,Fantasy movies with magical creatures.,4,pipeline_1
30252,135426,Fantastic Beasts and Where to Find Them 2 (2018),5,Fantasy movies with magical creatures.,4,pipeline_1
79533,266318,Green Snake (2021),6,Fantasy movies with magical creatures.,4,pipeline_1
82604,277282,Luck (2022),7,Fantasy movies with magical creatures.,4,pipeline_1
72716,235361,The King's Daughter (2020),8,Fantasy movies with magical creatures.,4,pipeline_1
33390,142450,Puella Magi Madoka Magica the Movie Part III: Rebellion (2013),9,Fantasy movies with magical creatures.,4,pipeline_1
29229,133135,Barbie and the Secret Door (2014),10,Fantasy movies with magical creatures.,4,pipeline_1
6793,6916,"Magic Sword, The (1962)",1,Fantasy movies with magical creatures.,4,pipeline_2
30133,135143,Fantastic Beasts and Where to Find Them (2016),2,Fantasy movies with magical creatures.,4,pipeline_2
29229,133135,Barbie and the Secret Door (2014),3,Fantasy movies with magical creatures.,4,pipeline_2
73100,237215,The Ruby Princess Runs Away (2001),4,Fantasy movies with magical creatures.,4,pipeline_2
30252,135426,Fantastic Beasts and Where to Find Them 2 (2018),5,Fantasy movies with magical creatures.,4,pipeline_2
1976,2065,"Purple Rose of Cairo, The (1985)",6,Fantasy movies with magical creatures.,4,pipeline_2
74442,243372,The Elm Chanted Forest (1986),7,Fantasy movies with magical creatures.,4,pipeline_2
82604,277282,Luck (2022),8,Fantasy movies with magical creatures.,4,pipeline_2
80890,271232,Fantastic Beasts: The Secrets of Dumbledore (2022),9,Fantasy movies with magical creatures.,4,pipeline_2
46342,171089,Wizards of the Lost Kingdom (1985),10,Fantasy movies with magical creatures.,4,pipeline_2
30133,135143,Fantastic Beasts and Where to Find Them (2016),1,Fantasy movies with magical creatures.,4,pipeline_3
73100,237215,The Ruby Princess Runs Away (2001),2,Fantasy movies with magical creatures.,4,pipeline_3
82604,277282,Luck (2022),3,Fantasy movies with magical creatures.,4,pipeline_3
30252,135426,Fantastic Beasts and Where to Find Them 2 (2018),4,Fantasy movies with magical creatures.,4,pipeline_3
80890,271232,Fantastic Beasts: The Secrets of Dumbledore (2022),5,Fantasy movies with magical creatures.,4,pipeline_3
1976,2065,"Purple Rose of Cairo, The (1985)",6,Fantasy movies with magical creatures.,4,pipeline_3
2003,2093,Return to Oz (1985),7,Fantasy movies with magical creatures.,4,pipeline_3
6793,6916,"Magic Sword, The (1962)",8,Fantasy movies with magical creatures.,4,pipeline_3
33390,142450,Puella Magi Madoka Magica the Movie Part III: Rebellion (2013),9,Fantasy movies with magical creatures.,4,pipeline_3
74442,243372,The Elm Chanted Forest (1986),10,Fantasy movies with magical creatures.,4,pipeline_3
30133,135143,Fantastic Beasts and Where to Find Them (2016),1,Fantasy movies with magical creatures.,4,pipeline_4
30252,135426,Fantastic Beasts and Where to Find Them 2 (2018),2,Fantasy movies with magical creatures.,4,pipeline_4
1976,2065,"Purple Rose of Cairo, The (1985)",3,Fantasy movies with magical creatures.,4,pipeline_4
2003,2093,Return to Oz (1985),4,Fantasy movies with magical creatures.,4,pipeline_4
33390,142450,Puella Magi Madoka Magica the Movie Part III: Rebellion (2013),5,Fantasy movies with magical creatures.,4,pipeline_4
80890,271232,Fantastic Beasts: The Secrets of Dumbledore (2022),6,Fantasy movies with magical creatures.,4,pipeline_4
79533,266318,Green Snake (2021),7,Fantasy movies with magical creatures.,4,pipeline_4
72716,235361,The King's Daughter (2020),8,Fantasy movies with magical creatures.,4,pipeline_4
74442,243372,The Elm Chanted Forest (1986),9,Fantasy movies with magical creatures.,4,pipeline_4
39673,156828,Enchanted Kingdom 3D (2014),10,Fantasy movies with magical creatures.,4,pipeline_4
30133,135143,Fantastic Beasts and Where to Find Them (2016),1,Fantasy movies with magical creatures.,4,pipeline_5
30252,135426,Fantastic Beasts and Where to Find Them 2 (2018),2,Fantasy movies with magical creatures.,4,pipeline_5
1976,2065,"Purple Rose of Cairo, The (1985)",3,Fantasy movies with magical creatures.,4,pipeline_5
2003,2093,Return to Oz (1985),4,Fantasy movies with magical creatures.,4,pipeline_5
33390,142450,Puella Magi Madoka Magica the Movie Part III: Rebellion (2013),5,Fantasy movies with magical creatures.,4,pipeline_5
80890,271232,Fantastic Beasts: The Secrets of Dumbledore (2022),6,Fantasy movies with magical creatures.,4,pipeline_5
79533,266318,Green Snake (2021),7,Fantasy movies with magical creatures.,4,pipeline_5
72716,235361,The King's Daughter (2020),8,Fantasy movies with magical creatures.,4,pipeline_5
6793,6916,"Magic Sword, The (1962)",9,Fantasy movies with magical creatures.,4,pipeline_5
74442,243372,The Elm Chanted Forest (1986),10,Fantasy movies with magical creatures.,4,pipeline_5
30133,135143,Fantastic Beasts and Where to Find Them (2016),1,Fantasy movies with magical creatures.,4,pipeline_6
30252,135426,Fantastic Beasts and Where to Find Them 2 (2018),2,Fantasy movies with magical creatures.,4,pipeline_6
1976,2065,"Purple Rose of Cairo, The (1985)",3,Fantasy movies with magical creatures.,4,pipeline_6
2003,2093,Return to Oz (1985),4,Fantasy movies with magical creatures.,4,pipeline_6
33390,142450,Puella Magi Madoka Magica the Movie Part III: Rebellion (2013),5,Fantasy movies with magical creatures.,4,pipeline_6
80890,271232,Fantastic Beasts: The Secrets of Dumbledore (2022),6,Fantasy movies with magical creatures.,4,pipeline_6
79533,266318,Green Snake (2021),7,Fantasy movies with magical creatures.,4,pipeline_6
72716,235361,The King's Daughter (2020),8,Fantasy movies with magical creatures.,4,pipeline_6
6793,6916,"Magic Sword, The (1962)",9,Fantasy movies with magical creatures.,4,pipeline_6
74442,243372,The Elm Chanted Forest (1986),10,Fantasy movies with magical creatures.,4,pipeline_6
1939,2028,Saving Private Ryan (1998),1,War films set during World War II.,5,pipeline_0
12831,64034,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",2,War films set during World War II.,5,pipeline_0
7570,7980,"Bridge Too Far, A (1977)",3,War films set during World War II.,5,pipeline_0
4120,4223,Enemy at the Gates (2001),4,War films set during World War II.,5,pipeline_0
5884,5995,"Pianist, The (2002)",5,War films set during World War II.,5,pipeline_0
1239,1272,Patton (1970),6,War films set during World War II.,5,pipeline_0
1229,1262,"Great Escape, The (1963)",7,War films set during World War II.,5,pipeline_0
1217,1250,"Bridge on the River Kwai, The (1957)",8,War films set during World War II.,5,pipeline_0
1201,1233,"Boot, Das (Boat, The) (1981)",9,War films set during World War II.,5,pipeline_0
22518,115210,Fury (2014),10,War films set during World War II.,5,pipeline_0
2973,3066,Tora! Tora! Tora! (1970),1,War films set during World War II.,5,pipeline_1
7570,7980,"Bridge Too Far, A (1977)",2,War films set during World War II.,5,pipeline_1
2852,2944,"Dirty Dozen, The (1967)",3,War films set during World War II.,5,pipeline_1
7698,8257,Battleground (1949),4,War films set during World War II.,5,pipeline_1
1239,1272,Patton (1970),5,War films set during World War II.,5,pipeline_1
12831,64034,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",6,War films set during World War II.,5,pipeline_1
37680,152385,The Camp on Blood Island (1958),7,War films set during World War II.,5,pipeline_1
9852,32941,"Self-Made Hero, A (Un héros très discret) (1996)",8,War films set during World War II.,5,pipeline_1
4120,4223,Enemy at the Gates (2001),9,War films set during World War II.,5,pipeline_1
